template,status,score,normalized,dataset,data_modality,task_type,subtype,problem_type
127509fe23b9.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
3c50fc5d509d.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
7f532f1480d2.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
ca0affe70cf4.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
bb9da90a1e43.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
65e525a4919c.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
8e71801c0e4b.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
3ace84a9a1fc.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
07093247c3dc.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
040d80482c88.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
03329466099b.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
3d06c5b24a2b.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
ac4d343c1438.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
101ce988402f.json,TIMEOUT,,,LL1_GT_actor_group_association_prediction_MIN_METADATA,graph,link_prediction,graph,graph/link_prediction
cdc19b5d1983.json,TIMEOUT,,,LL1_HandOutlines_MIN_METADATA,timeseries,classification,binary,timeseries/classification
e578659b29f0.json,TIMEOUT,,,LL1_HandOutlines_MIN_METADATA,timeseries,classification,binary,timeseries/classification
3c50fc5d509d.json,TIMEOUT,,,LL1_HandOutlines_MIN_METADATA,timeseries,classification,binary,timeseries/classification
a776f902723d.json,TIMEOUT,,,LL1_HandOutlines_MIN_METADATA,timeseries,classification,binary,timeseries/classification
cafa9acdf610.json,TIMEOUT,,,LL1_HandOutlines_MIN_METADATA,timeseries,classification,binary,timeseries/classification
cdc19b5d1983.json,TIMEOUT,,,LL1_Haptics_MIN_METADATA,timeseries,classification,multiclass,timeseries/classification
3c50fc5d509d.json,TIMEOUT,,,LL1_Haptics_MIN_METADATA,timeseries,classification,multiclass,timeseries/classification
cafa9acdf610.json,TIMEOUT,,,LL1_Haptics_MIN_METADATA,timeseries,classification,multiclass,timeseries/classification
e578659b29f0.json,TIMEOUT,,,LL1_Haptics_MIN_METADATA,timeseries,classification,multiclass,timeseries/classification
3c50fc5d509d.json,TIMEOUT,,,LL1_ItalyPowerDemand_MIN_METADATA,timeseries,classification,binary,timeseries/classification
cdc19b5d1983.json,TIMEOUT,,,LL1_ItalyPowerDemand_MIN_METADATA,timeseries,classification,binary,timeseries/classification
e578659b29f0.json,TIMEOUT,,,LL1_ItalyPowerDemand_MIN_METADATA,timeseries,classification,binary,timeseries/classification
cafa9acdf610.json,TIMEOUT,,,LL1_ItalyPowerDemand_MIN_METADATA,timeseries,classification,binary,timeseries/classification
e578659b29f0.json,TIMEOUT,,,LL1_Meat_MIN_METADATA,timeseries,classification,multiclass,timeseries/classification
cdc19b5d1983.json,TIMEOUT,,,LL1_Meat_MIN_METADATA,timeseries,classification,multiclass,timeseries/classification
3c50fc5d509d.json,TIMEOUT,,,LL1_Meat_MIN_METADATA,timeseries,classification,multiclass,timeseries/classification
